house_id,purchase_price,%_change_between_offer_and_purchase,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
40468,1550000,-7,3.35,1.13,4.34
40444,10000000,0,3.35,1.13,4.34
40432,4600000,-4,3.35,1.13,4.34
40395,2405000,0,3.35,1.13,4.34
40461,699000,0,3.35,1.13,4.34
40494,1650000,0,3.35,1.13,4.34
40429,1500000,0,3.35,1.13,4.34
40392,1210000,-4,3.35,1.13,4.34
40566,1520000,-5,3.35,1.13,4.34
40632,7300000,-1,3.35,1.13,4.34
40633,2995000,0,3.35,1.13,4.34
40743,1065000,-11,3.35,1.13,4.34
40644,550000,0,3.35,1.13,4.34
40763,3250000,-1,3.35,1.13,4.34
40674,4395000,0,3.35,1.13,4.34
40770,1430000,0,3.35,1.13,4.34
40738,3450000,0,3.35,1.13,4.34
40803,5300000,0,3.35,1.13,4.34
40657,1775000,-4,3.35,1.13,4.34
40760,3035000,-7,3.35,1.13,4.34
40824,4175000,0,3.35,1.13,4.34
40960,1595000,0,3.35,1.13,4.34
40991,6100000,0,3.35,1.13,4.34
40851,5150000,-4,3.35,1.13,4.34
40915,1660000,0,3.35,1.13,4.34
40992,3275000,0,3.35,1.13,4.34
40989,2935000,-2,3.35,1.13,4.34
40874,3275000,0,3.35,1.13,4.34
40834,3600000,-4,3.35,1.13,4.34
40984,1630000,-18,3.35,1.13,4.34
40998,812500,0,3.35,1.13,4.34
40870,498000,0,3.35,1.13,4.34
40865,1675000,0,3.35,1.13,4.34
40859,1950000,0,3.35,1.13,4.34
40901,4515000,0,3.35,1.13,4.34
40899,3100000,-3,3.35,1.13,4.34
41222,450000,0,3.35,1.13,4.34
41059,1300000,-18,3.35,1.13,4.34
41111,500000,0,3.35,1.13,4.34
41202,1325000,0,3.35,1.13,4.34
41072,505000,-4,3.35,1.13,4.34
41037,1676250,3,3.35,1.13,4.34
41123,8000000,0,3.35,1.13,4.34
41376,1050000,-13,3.35,1.13,4.34
41385,3350000,-4,3.35,1.13,4.34
41283,440000,-11,3.35,1.13,4.34
41263,1600000,-16,3.35,1.13,4.34
41389,2350000,-6,3.35,1.13,4.34
41245,2295000,0,3.35,1.13,4.34
41299,275000,-30,3.35,1.13,4.34
41428,1700000,0,3.35,1.13,4.34
41390,975000,0,3.35,1.13,4.34
41442,450000,0,3.35,1.13,4.34
41617,1520000,0,3.35,1.13,4.34
41543,4000000,0,3.35,1.13,4.34
41627,2425000,-5,3.35,1.13,4.34
41569,800000,-20,3.35,1.13,4.34
41511,1145000,-4,3.35,1.13,4.34
41472,550000,0,3.35,1.13,4.34
41451,900000,-5,3.35,1.13,4.34
41562,1995000,-5,3.35,1.13,4.34
41621,2540000,-4,3.35,1.13,4.34
41504,1695000,0,3.35,1.13,4.34
41565,705000,0,3.35,1.13,4.34
41460,900000,-10,3.35,1.13,4.34
41541,920000,-8,3.35,1.13,4.34
41672,1000000,0,3.35,1.13,4.34
41695,1950000,0,3.35,1.13,4.34
41674,1195000,0,3.35,1.13,4.34
41657,1208800,0,3.35,1.13,4.34
41692,2825000,-6,3.35,1.13,4.34
41650,550000,0,3.35,1.13,4.34
41673,3995000,0,3.35,1.13,4.34
41706,1575000,0,3.35,1.13,4.34
41709,1850000,-2,3.35,1.13,4.34
41724,1250000,-10,3.35,1.13,4.34
41887,1350000,-7,3.35,1.13,4.34
41749,1700000,0,3.35,1.13,4.34
41928,900000,-5,3.35,1.13,4.34
41764,710000,-11,3.35,1.13,4.34
41810,800000,-11,3.35,1.13,4.34
41921,1600000,-11,3.35,1.13,4.34
41938,1700000,-5,3.35,1.13,4.34
41818,900000,0,3.35,1.13,4.34
41895,3925000,-2,3.35,1.13,4.34
41752,500000,0,3.35,1.13,4.34
41918,760000,-4,3.35,1.13,4.34
41823,1875000,0,3.35,1.13,4.34
41841,932000,0,3.35,1.13,4.34
41931,2225000,-9,3.35,1.13,4.34
41870,820000,-3,3.35,1.13,4.34
41907,4225000,0,3.35,1.13,4.34
